protein.Accession	UNIQID	gene	EC number	ProteinNames	GeneName	SequenceLength	H1	H2	H3	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3
P00830	YJR121W	ATP2	3.6.3.14	"ATP synthase subunit beta, mitochondrial (EC 3.6.3.14)"	ATP2 YJR121W J2041	511	18576.37392	18682.81312	16517.4661	11481.03878	12931.28758	13637.15752	14261.41981	16676.75324	13491.34966
P00890	YNR001C	CIT1	2.3.3.1	"Citrate synthase, mitochondrial (EC 2.3.3.1)"	CIT1 GLU3 LYS6 YNR001C N2019	479	4241.02573	5051.079404	5522.37546	2197.926609	2532.714179	3558.094409	3056.958939	3645.831899	3063.367679
P00899	YER090W	TRP2	4.1.3.27	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	TRP2 YER090W	507	2572.699946	2987.024273	2557.046877	3728.993094	4371.061032	4080.556376	2207.423955	2855.737936	2489.907566
P00925	YHR174W	ENO2	4.2.1.11	Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2)	ENO2 ENOB YHR174W	437	52818.89878	52763.57923	64755.79601	20542.18123	7326.502925	48485.67502	32563.52146	26701.37192	34590.52856
P00927	YER086W	ILV1	4.3.1.19	"Threonine dehydratase, mitochondrial (EC 4.3.1.19) (Threonine deaminase)"	ILV1 YER086W	576	4643.39106	4960.511159	4211.124877	5241.466875	6217.389569	5892.854081	3290.921053	4310.058986	3708.09975
P00931	YGL026C	TRP5	4.2.1.20	Tryptophan synthase (EC 4.2.1.20)	TRP5 YGL026C	707	2443.350312	2647.583161	2628.747122	3891.475947	4177.900264	4207.358326	1742.669976	2579.916933	2179.472959
P00958	YGR264C	MES1	6.1.1.10	"Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)"	MES1 YGR264C	751	2912.919498	3136.724406	3298.490109	1461.9658	2692	2547.145069	1179.214145	3059.17113	2582.052672
P01120	YNL098C	RAS2		Ras-like protein 2	RAS2 ASC1 CTN5 GLC5 YNL098C N2198	322	2307.606552	2920.588982	2486.429166	2126.089368	2186.668699	2161.061545	1910.496271	2493.431371	2117.215861
P02309	YBR009C	HHF1		Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	103	10656.51524	13123.85462	12068.58583	5681.557357	9091.039875	8020.103366	7941.525231	12017.39947	10044.10125
P02309	YNL030W	HHF2		Histone H4	HHF1 YBR009C YBR0122; HHF2 YNL030W N2752	103	10656.51524	13123.85462	12068.58583	5681.557357	9091.039875	8020.103366	7941.525231	12017.39947	10044.10125
P02400	YDR382W	RPP2b		60S acidic ribosomal protein P2-beta (P2B) (L12EIA) (L45) (YL44C) (YP2beta) (YPA1)	RPP2B L12EIA RPL45 RPLA4 YDR382W	110	14737	17079	15309	6687	7429	8051	12757	14117	13182
P02406	YGL103W	RPL28		60S ribosomal protein L28 (L27a) (L29) (RP44) (RP62) (YL24)	RPL28 CYH2 YGL103W	149	53878.99786	58829.27051	62184.74825	21311.1484	23957.12547	42793.98739	21954.98114	56294.00332	50570.81577
P02557	YFL037W	TUB2		Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	457	3724.383458	4606.272006	3934.867345	2221.754035	3292.614582	2868.156887	2741.527023	4160.381024	3142.962868
P02829	YPL240C	HSP82		ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform)	HSP82 HSP90 YPL240C	709	10434.08894	12838.04152	12794.43129	10967.3014	10390.28344	10262.52771	11185.75	15219.55075	11542.34006
P02992	YOR187W	TUF1		"Elongation factor Tu, mitochondrial (tufM)"	TUF1 TUFM YOR187W	437	3917	3714	4435	2497	2502	2241	3034	3143	3196
P03965	YJR109C	CPA2	6.3.5.5	"Carbamoyl-phosphate synthase arginine-specific large chain (EC 6.3.5.5) (Arginine-specific carbamoyl-phosphate synthetase, ammonia chain)"	CPA2 YJR109C J2002	1118	2795.123664	2772.521818	2289.9641	4734.795401	5195.349969	5786.031874	1603.846107	2467.906666	1778.534928
P04037	YGL187C	COX4		"Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)"	COX4 YGL187C G1362	155	5413	5490	5162	2945	3544	3543	4710	5670	5003
P04046	YMR300C	ADE4	2.4.2.14	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)	ADE4 YMR300C YM9952.02C	510	1588.453021	1602.783204	1364.421123	2085.205026	2745.545847	2282.627214	1287.108387	1770.981084	1301.273991
P04076	YHR018C	ARG4	4.3.2.1	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	ARG4 YHR018C	463	3498.28478	4263.771552	4412.012596	7774.41908	10667.96949	11436.34909	3208.837782	4360.658905	3605.333238
P04147	YER165W	PAB1		"Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)"	PAB1 YER165W	577	16430.97644	18076.78451	15979.41641	10075.01185	11534.97676	11611.08194	12678.37555	16680.31177	14398.09456
P04449	YGL031C	RPL24a		60S ribosomal protein L24-A (L30) (RP29) (YL21)	RPL24A RP29 RPL30A YGL031C	155	42559	40579	38625	29439	30528	32213	36936	35379	34337
P04456	YOL127W	RPL25		60S ribosomal protein L25 (RP16L) (YL25) (YP42')	RPL25 YOL127W	142	43734.5474	48285.0985	41867.34696	32305.81137	33476.64564	28168.06338	10789.69143	42330.2906	9189.357538
P04801	YIL078W	THS1	6.1.1.3	"Threonine--tRNA ligase, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)"	THS1 YIL078W	734	5390.827135	6243.463672	5655.308715	4821.573137	5475.463947	4090.076202	3573.15702	5350.579929	4682.600251
P04802	YLL018C	DPS1	6.1.1.12	"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)"	DPS1 APS APS1 YLL018C L1295	557	5844.030085	6301.633714	6805.43719	4915.194644	7560.332514	7249.295349	4928.75695	5892.478109	5459.711114
P04806	YFR053C	HXK1	2.7.1.1	Hexokinase-1 (EC 2.7.1.1) (Hexokinase PI) (Hexokinase-A)	HXK1 HKA YFR053C	485	6979.088445	7143.74461	7210.05737	3281.984819	3195.722584	3853.509044	6680.69399	6981.690274	6419.917303
P04807	YGL253W	HXK2	2.7.1.1	Hexokinase-2 (EC 2.7.1.1) (Hexokinase PII) (Hexokinase-B)	HXK2 HEX1 HKB YGL253W NRB486	486	12135.26012	13147.54579	13617.21247	5226.744643	9120.706108	11994.66801	5377.726825	10632.87133	8366.234312
P04840	YNL055C	POR1		Mitochondrial outer membrane protein porin 1 (Voltage-dependent anion-selective channel protein 1) (VDAC-1)	POR1 OMP2 VDAC1 YNL055C N2441 YNL2441C	283	24038.77163	26712.0964	25234.85931	29876.08317	35132.67982	37266.90674	21318.47904	25101.45979	21053.01433
P05030	YGL008C	PMA1	3.6.3.6	Plasma membrane ATPase 1 (EC 3.6.3.6) (Proton pump 1)	PMA1 YGL008C	918	21174.75606	22875.64627	16130.24648	26847.78577	22457.99207	13446.11817	14012.81371	17339.50589	18390.38721
P05317	YLR340W	RPP0		60S acidic ribosomal protein P0 (A0) (L10E)	RPP0 L10E RPA0 RPL10E RPLA0 YLR340W L8300.8	312	36657.25937	39821.68857	44647.94457	22182.55956	25661.34535	28173.30575	30199.81374	32782.50425	29851.88076
P05319	YOL039W	RPP2a		60S acidic ribosomal protein P2-alpha (P2A) (A2) (L12EIB) (L44) (YP2alpha)	RPP2A L12EIB RPA2 RPL44 RPLA2 YOL039W	106	4869	5361	4675	2805	3084	2305	3897	5815	3506
P05375	YJR073C	OPI3	2.1.1.17	Phosphatidyl-N-methylethanolamine N-methyltransferase (PLMT) (EC 2.1.1.17) (EC 2.1.1.71) (Overproducer of inositol protein 3) (Unsaturated phospholipid methyltransferase)	OPI3 PEM2 YJR073C J1824	206	5421	5153	4542	2741	2646	2632	4542	4416	3210
P05453	YDR172W	SUP35		Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF3) (ERF2) (G1 to S phase transition protein 1) (Omnipotent suppressor protein 2) (PSI no more protein 2) (Polypeptide release factor 3) (Translation release factor 3)	SUP35 GST1 PNM2 SAL3 SUF12 SUP2 YDR172W YD9395.05	685	5255	6650	6127	4078	4264	3349	3911	5287	4454
P05694	YER091C	MET6	2.1.1.14	"5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Delta-P8 protein) (Methionine synthase, vitamin-B12 independent isozyme)"	MET6 YER091C	767	31244.48989	35160.34069	32797.00279	17051.54141	27152.75509	28261.24833	15821.7198	27559.15018	23872.25072
P05737	YGL076C	RPL7a		60S ribosomal protein L7-A (L6) (RP11) (YL8)	RPL7A RPL6A RPL8A YL8A YGL076C	244	53660	64403	61129	23652	46294	44944	34228	60213	54766
P05738	YGL147C	RPL9a		60S ribosomal protein L9-A (L8) (RP24) (YL11)	RPL9A RPL8A RPL9 YGL147C	191	39871	36036	37618	16481	20000	19213	27089	33405	29215
P05739	YLR448W	RPL6b		60S ribosomal protein L6-B (L17) (RP18) (YL16)	RPL6B RPL16B RPL17B YL16B YLR448W L9324.4	176	18471.17618	20078.74012	18480.4829	10736.17187	12654.31063	11942.38863	15653.62817	17649.69695	17053.38242
P05743	YLR344W	RPL26a		60S ribosomal protein L26-A (L33) (YL33)	RPL26A RPL26 RPL33A YLR344W L8300.4	127	4338	26455	25746	16003	22021	16919	16274	25099	22746
P05744	YPL143W	RPL33a		60S ribosomal protein L33-A (L37) (RP47) (YL37)	RPL33A RPL37A YPL143W LPI4W P2625	107	82489	87829	84850	62299	56950	54341	74429	73334	63737
P05748	YLR029C	RPL15a		60S ribosomal protein L15-A (L13) (RP15R) (YL10) (YP18)	RPL15A RPL10A RPL13A YL10A YLR029C	204	58513	61651	67943	35377	44512	35876	44277	54415	53793
P05750	YNL178W	RPS3		40S ribosomal protein S3 (RP13) (YS3)	RPS3 SUF14 YNL178W N1653	240	29476.2388	33171.00891	36617.50173	19835.93743	23933.44498	24370.16765	24079.08971	24796.87314	28957.25823
P05756	YDR064W	RPS13		40S ribosomal protein S13 (S27a) (YS15)	RPS13 RPS13C YDR064W D4252 YD9609.18	151	44666.25577	39462.2595	49578.38906	21795.23641	24140.38127	33743.54341	34125.47324	36607.44445	30213.80489
P05759	YLR167W	RPS31		Ubiquitin-40S ribosomal protein S31 [Cleaved into: Ubiquitin; 40S ribosomal protein S31 (CEP76) (S37) (YS24)]	RPS31 RPS37 UBI3 YLR167W L9470.14	152	49708.10773	48689.83487	35760.56862	22643.28704	25072.61887	27289.60516	30881.88906	39221.52853	33460.3636
P06103	YOR361C	PRT1		Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Cell cycle regulation and translation initiation protein) (Eukaryotic translation initiation factor 3 90 kDa subunit) (eIF3 p90) (Translation initiation factor eIF3 p90 subunit)	PRT1 CDC63 YOR361C	763	3352.950788	3216.046692	2512.017485	2207.109832	2088.03562	1846.184661	2579.808979	2946.598539	2433.598449
P06105	YJL080C	SCP160		Protein SCP160 (Protein HX)	SCP160 HX YJL080C J1017	1222	2170.281034	3041.9832	2055.782808	2041.443944	2427.582936	1561.579945	1428.283334	2155.570439	1843.192468
P06168	YLR355C	ILV5	1.1.1.86	"Ketol-acid reductoisomerase, mitochondrial (EC 1.1.1.86) (Acetohydroxy-acid reductoisomerase) (Alpha-keto-beta-hydroxylacyl reductoisomerase)"	ILV5 YLR355C L9638.7	395	26230.92564	25550.66868	26325.5301	40692.37682	43700.63067	27919.09349	17611.46858	22709.18112	19779.5525
P06169	YLR044C	PDC1	4.1.1.-	Pyruvate decarboxylase isozyme 1 (EC 4.1.1.-) (EC 4.1.1.1)	PDC1 YLR044C L2104	563	139837	144491	147636	144144	142216	134083	133473	140636	136130
P06208	YNL104C	LEU4	2.3.3.13	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	LEU4 YNL104C N2173	619	2709.47587	2850.397008	2626.644817	13110.18268	15717.89055	13951.10911	1951.881458	2734.58844	2346.565839
P06634	YOR204W	DED1	3.6.4.13	ATP-dependent RNA helicase DED1 (EC 3.6.4.13) (DEAD box protein 1)	DED1 SPP81 YOR204W	604	8061.647739	9432.071742	9829.443601	4504.200957	5550.655616	5505.57615	5794.954419	8309.629504	6126.755542
P06780	YPR165W	RHO1		GTP-binding protein RHO1 (Rho-type GTPase 1)	RHO1 YPR165W P9325.3	209	9517	9967	10217	8566	9808	8666	8228	9218	9070
P07149	YKL182W	FAS1	2.3.1.86	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	FAS1 YKL182W	2051	5507.970072	6316.237404	4599.133173	9255.241602	8922.187865	5782.489462	3680.261175	5446.439013	4876.202222
P07172	YIL116W	HIS5	2.6.1.9	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	HIS5 YIL116W	385	1392	1380	876	4721	4548	3796	922	1444	1224
P07213	YNL121C	TOM70		Mitochondrial import receptor subunit TOM70 (70 kDa mitochondrial outer membrane protein) (Translocase of outer membrane 70 kDa subunit)	TOM70 MAS70 OMP1 YNL121C N1905	617	1826	1564	1551	1222	1176	1315	1317	1808	1242
P07244	YGL234W	ADE5	6.3.4.13	"Bifunctional purine biosynthetic protein ADE5,7 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase)]"	"ADE5,7 YGL234W"	802	2198.595996	2376.995356	2505.775618	2016.07348	2512.082055	2444.94055	1689.430637	2095.758701	2051.096219
P07245	YGR204W	ADE3	1.5.1.5	"C-1-tetrahydrofolate synthase, cytoplasmic (C1-THF synthase) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9); Formyltetrahydrofolate synthetase (EC 6.3.4.3)]"	ADE3 YGR204W G7733	946	5812.356954	5490.562462	5877.045222	7703.051035	8427.170272	8112.229213	4460.162236	4469.141494	4686.121338
P07246	YMR083W	ADH3	1.1.1.1	"Alcohol dehydrogenase 3, mitochondrial (EC 1.1.1.1) (Alcohol dehydrogenase III) (YADH-3)"	ADH3 YMR083W YM9582.08	375	2635.838691	3070.163449	3142.793716	5747.18894	6893.052964	7015.058838	2301.327676	3048.670683	2701.764633
P07251	YBL099W	ATP1		"ATP synthase subunit alpha, mitochondrial"	ATP1 YBL099W YBL0827	545	8291.692782	9000.332894	8090.463409	5495.996695	5856.50848	5695.630653	5989.167765	8204.179165	6510.923937
P07257	YPR191W	QCR2		"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)"	QCR2 COR2 UCR2 YPR191W P9677.6	368	4322.545194	4615.920416	4655.691435	2674.215816	3065.409432	3186.877223	3598.269158	4342.624064	3545.833946
P07259	YJL130C	URA2	6.3.5.5	Protein URA2 [Includes: Glutamine-dependent carbamoyl-phosphate synthase (EC 6.3.5.5); Aspartate carbamoyltransferase (EC 2.1.3.2)]	URA2 YJL130C J0686	2214	2245.087134	2714.661858	2002.049119	2433.985409	2817.577971	1914.254579	1063.919402	2046.027665	2119.114718
P07260	YOL139C	CDC33		Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein)	CDC33 TIF45 YOL139C	213	10144	10749	11425	6369	10005	7802	7743	10154	8182
P07262	YOR375C	GDH1	1.4.1.4	NADP-specific glutamate dehydrogenase 1 (NADP-GDH 1) (EC 1.4.1.4) (NADP-dependent glutamate dehydrogenase 1)	GDH1 URE1 YOR375C	454	7066.633587	7569.282642	7465.434899	2869.092497	3289.797554	2813.70862	5699.005155	8166.886891	6912.305799
P07264	YGL009C	LEU1	4.2.1.33	3-isopropylmalate dehydratase (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	LEU1 YGL009C	779	4332.854626	4416.031732	4347.951241	32231.82919	36373.36704	38082.88037	2975.876952	4136.41493	3801.58574
P07267	YPL154C	PEP4	3.4.23.25	Saccharopepsin (EC 3.4.23.25) (Aspartate protease) (PrA) (Proteinase A) (Carboxypeptidase Y-deficient protein 4) (Proteinase YSCA)	PEP4 PHO9 PRA1 YPL154C P2585	405	8397.811556	7475.086234	7589.320616	9337.142563	10380.00908	9271.397689	7795.58122	7278.43089	6636.290537
P07278	YIL033C	BCY1		cAMP-dependent protein kinase regulatory subunit (cAPK regulatory subunit) (Bypass of cyclase mutations protein 1) (Protein kinase A regulatory subunit) (PKA regulatory subunit)	BCY1 REG1 SRA1 YIL033C	416	3271.973015	3516.212925	3035.328904	2234.515906	2648.092195	2505.152507	2400.915555	3123.492482	2515.126615
P07283	YFL045C	SEC53	5.4.2.8	Phosphomannomutase (PMM) (EC 5.4.2.8)	SEC53 ALG4 YFL045C	254	8906.15885	9457.09809	8911.314647	3890.714172	4842.343091	5072.666174	5872.885531	8474.648153	7023.476834
P07284	YDR023W	SES1	6.1.1.11	"Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)"	SES1 SERS YDR023W YD9813.01	462	9904	11722	13040	6919	7036	9178	7266	8560	7174
P07342	YMR108W	ILV2	2.2.1.6	"Acetolactate synthase catalytic subunit, mitochondrial (EC 2.2.1.6) (Acetohydroxy-acid synthase catalytic subunit) (AHAS) (ALS)"	ILV2 SMR1 YMR108W YM9718.07	687	4249.834562	3857.018891	3721.951692	15740.62075	16892.0886	15760.13003	3226.875587	3886.241609	3231.303182
P07560	YFL005W	SEC4		Ras-related protein SEC4 (Suppressor of RHO3 protein 6)	SEC4 SRO6 YFL005W	215	7823	8433	7870	7116	6450	6714	5019	8535	6822
P07806	YGR094W	VAS1	6.1.1.9	"Valine--tRNA ligase, mitochondrial (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)"	VAS1 YGR094W	1104	2558.05144	3085.619121	2748.442613	2984.617068	3422.586445	3236.482281	1689.963843	2603.195461	2312.533487
P08417	YPL262W	FUM1	4.2.1.2	"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2)"	FUM1 YPL262W	488	3316.526767	4380.411051	3374.960036	3607.283403	3859.024183	3674.641522	2901.750875	4100.670136	3073.631018
P08524	YJL167W	ERG20	2.5.1.10	"Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)"	ERG20 BOT3 FDS1 FPP1 YJL167W J0525	352	6469.01728	7428.965664	10400.13339	6583.123099	7882.398256	8880.405625	8043.450126	7596.554016	5647.2019
P08566	YDR127W	ARO1	4.2.3.4	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	ARO1 AROM YDR127W YD9302.02	1588	1610.319844	1645.506609	1360.901539	2607.398704	2505.440081	1955.8865	847.5960123	1550.719833	1346.247006
P09064	YPL237W	SUI3		Eukaryotic translation initiation factor 2 subunit beta (eIF-2-beta)	SUI3 TIF212 YPL237W	285	4475.527559	5038.236335	3897.089765	2448.584271	2948.533253	2862.298744	3101.363573	4453.851291	3948.365163
P09436	YBL076C	ILS1	6.1.1.5	"Isoleucine--tRNA ligase, cytoplasmic (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)"	ILS1 YBL076C YBL0734	1072	2779.789523	2663.029416	2665.973989	3117.25668	3319.018503	2990.05582	1957.707248	2376.67536	2270.333516
P09624	YFL018C	LPD1	1.8.1.4	"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine decarboxylase complex subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component)"	LPD1 DHLP1 YFL018C	499	5405.680467	6335.162953	4880.088053	5569.170301	5843.329212	5523.77529	4395.470297	6166.81193	4782.492525
P09733	YML085C	TUB1		Tubulin alpha-1 chain	TUB1 YML085C	447	6756.595444	5223.532425	4692.142368	3634.960247	3951.084408	3541.427819	5144.077371	5678.914949	4218.292071
P0C2H8	YDL075W	RPL31a		60S ribosomal protein L31-A (L34) (YL28)	RPL31A RPL34 RPL34A YDL075W D2478	113	37661	39270	42827	23151	27378	30085	22849	36197	34677
P0C2H9	YLR406C	RPL31b		60S ribosomal protein L31-B (L34) (YL28)	RPL31B RPL34 RPL34B YLR406C	113	9760	10208	10646	7486	6994	8025	7614	8960	8445
P0CS90	YJR045C	SSC1		"Heat shock protein SSC1, mitochondrial (Endonuclease SceI 75 kDa subunit) (Endo.SceI 75 kDa subunit) (mtHSP70)"	SSC1 ENS1 YJR045C J1639	654	26758	25704	24243	24869	16654	14696	26374	25039	20033
P10081	YKR059W	TIF1	3.6.4.13	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	TIF1 TIF41A YKR059W; TIF2 TIF41B YJL138C J0660	395	68215	67026	65234	36090	41245	54341	47798	55976	54405
P10081	YJL138C	TIF2	3.6.4.13	ATP-dependent RNA helicase eIF4A (EC 3.6.4.13) (Eukaryotic initiation factor 4A) (eIF-4A) (Stimulator factor I 37 kDa component) (Translation initiation factor 1/2) (p37)	TIF1 TIF41A YKR059W; TIF2 TIF41B YJL138C J0660	395	68215	67026	65234	36090	41245	54341	47798	55976	54405
P10591	YAL005C	SSA1		Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	642	41695.85777	37992.9786	32395.13056	27333.39822	31012.87857	29038.75773	34031.19306	39253.91117	31087.12534
P10592	YLL024C	SSA2		Heat shock protein SSA2	SSA2 YLL024C L0931	639	51320.87358	52087.17819	43713.78488	37096.93385	39950.85833	34692.68989	46041.93099	51040.96056	44847.30995
P10659	YLR180W	SAM1	2.5.1.6	S-adenosylmethionine synthase 1 (AdoMet synthase 1) (EC 2.5.1.6) (Methionine adenosyltransferase 1) (MAT 1)	SAM1 ETH10 YLR180W L9470.9	382	24040	25510	23210	12335	14261	16563	14733	20851	14631
P10869	YER052C	HOM3	2.7.2.4	Aspartokinase (EC 2.7.2.4) (Aspartate kinase)	HOM3 YER052C	527	4878	3523	3299	6306	7697	7725	3126	3581	3310
P11412	YNL241C	ZWF1	1.1.1.49	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	ZWF1 MET19 YNL241C N1110	505	5359	6099	5126	7296	7951	7500	5135	6308	5526
P11484	YDL229W	SSB1		Heat shock protein SSB1 (Cold-inducible protein YG101)	SSB1 YG101 YDL229W	613	96571	91974	78532	54554	63926	56367	69018	89721	80309
